名称,来源,页码,体型,类型,阵营,AC,HP,速度,力量,敏捷,体质,智力,感知,魅力,豁免骰,技能,伤害易伤,伤害抗性,伤害免疫,状态免疫,感官,语言,CR,特质,动作,附赠动作,反应,传奇动作,神话动作,巢穴动作,区域效应,环境,宝藏
捣蛋鬼,MPMM,65,小型,妖精,混乱 中立,14,18 (4d6 + 4),"30 尺, 攀爬 30 尺",8,18,13,6,12,7,,"察觉 +5, 巧手 +6, 隐匿 +6",,火焰,,,"黑暗视觉 60 尺, 被动察觉 15",木族语,1/8 (XP 25; PB +2),,"猛砸 Pummel. 近战武器攻击: 命中+1，触及5尺，单一目标。命中: 2（1d6 - 1）钝击伤害。

油坑 Oil Puddle. 捣蛋鬼创造出一滩不可燃的油。这个油坑有1英寸深，并覆盖捣蛋鬼所处的空间，对捣蛋鬼以外的所有生物视为困难地形，持续1小时。此外，根据捣蛋鬼的选择，其还具有以下一种额外效果：

滑油. 任何非捣蛋鬼生物进入油坑区域或在其中开始回合必须成功通过DC 11的敏捷豁免，否则倒地倒地。

黏油. 任何非捣蛋鬼生物进入油坑或在其内开始其回合时，必须成功通过DC 11的力量豁免否则被束缚。在其回合中，生物可以使用一个动作尝试脱身，通过成功的DC 11力量检定来结束该效果并移动至其选择的最近未占据空间。","捣蛋鬼油 Boggle Oil. 捣蛋鬼从毛孔中排出不可燃的油，给予自己以下一种其自选的好处，直到其再次使用此附赠动作：

滑油. 捣蛋鬼在敏捷（特技）检定上具有优势，可以逃脱束缚和结束擒抱，并且它可以通过足以让微型生物通过的小开口而无需挤过。

黏油. 捣蛋鬼在力量（运动）检定上获得优势，以及在保持对另一个生物、表面或物体的抓握属性检定中获得优势。捣蛋鬼还可以攀爬困难表面，包括倒立在天花板上，而无需进行属性检定。

裂痕 Dimensional Rift. 捣蛋鬼在它能看到的5尺范围内一个开口或框架中创建一道隐形且不可移动的裂痕，只是任何一侧的空间不能大于10尺。裂痕连接了该空间与一点，该点必须位于30尺内，且捣蛋鬼可以通过距离和方向看到或指定（如""30尺垂直向上""）。当在裂痕旁边时，捣蛋鬼可以看到另外一端，也被认为是在目的地的附近，任何由捣蛋鬼所携带而穿过裂口的东西（包括它身体的一部分）都会在目的地出现。只有捣蛋鬼可以使用裂口，它将持续到捣蛋鬼的下一个回合结束。",,,,,,"丘陵, 城市, 幽暗地域, 森林",
掘土巨怪,MM'25,312,大型,怪兽,混乱 邪恶,18,93 (11d10 + 33),"30 尺, 掘穴 20 尺",20,13,16,9,10,10,,,,,,,"黑暗视觉 120 尺, 颤动感知 60 尺, 被动察觉 10",掘土巨怪,"5 (XP 1,800; PB +3)",掘道者 Tunneler. 掘土巨怪能够以其一半的掘穴速度掘穴速度掘穴通过坚硬的岩石，并在其身后留下直径10尺的地道。,"多重攻击 Multiattack. 掘土巨怪发动三次撕裂攻击。

撕裂 Rend. 近战攻击检定: +8，触及 10 尺。命中: 12（2d6 + 5）挥砍伤害。","困惑凝视 (充能 5–6) Confusing Gaze. 感知 豁免检定: DC 14，30 尺锥状区域内的每名生物。失败: 目标无法使用反应直至掘土巨怪的下个回合结束。此外，目标的下个回合中，其投掷1d8来决定自己执行什么行动：

1-4. 目标不受影响。

5-6. 目标无法执行动作或附赠动作，并消耗其全部移动力向一个随机方向移动。

7-8. 目标对其触及范围内随机一名生物发动一次近战攻击。若其无法发动此攻击，则什么都不做。",,,,,,幽暗地域,
掘地虫,MM'25,18,大型,怪兽,无阵营,14,45 (6d10 + 12),"30 尺, 掘穴 10 尺",17,11,14,1,13,6,,,,,,,"黑暗视觉 60 尺, 颤动感知 60 尺, 被动察觉 11",—,2 (XP 450; PB +2),掘道者 Tunneler. 掘地虫能够以其一半的掘穴速度掘穴通过坚硬的岩石，并在其身后留下直径 10 尺的地道。,"啃咬 Bite. 近战攻击检定:：+5（若目标受擒于掘地虫则具有优势），触及 5 尺。命中: ：10（2d6 + 3）挥砍伤害，外加3（1d6）强酸伤害。若目标生物体型不超过大型，则其陷入受擒状态（逃脱DC 13 ）。

酸液喷射(充能 6) Acid Spray. 敏捷 豁免检定: DC 12， 30 尺长、 5 尺宽的线状区域内的每名生物。失败: ： 14 （4d6）强酸伤害。成功: ：半伤。",,,,,,,"森林, 草地",
掠魂魔,MPMM,188,中型,邪魔 (恶魔),混乱 邪恶,18 (天生护甲),190 (20d8 + 100),"40 尺, 飞行 60 尺",22,14,21,14,15,17,"Str +11, Dex +7",察觉 +7,,"寒冷, 火焰, 闪电; 钝击, 穿刺, 和 挥砍 来自非魔法攻击",毒素,中毒,"黑暗视觉 60 尺, 被动察觉 17","深渊语, 心灵感应 120 尺","15 (XP 13,000; PB +5)","吞噬灵魂 Devour Soul. 掠魂魔可以吃掉其之前一小时内杀死的生物的灵魂，前提是该生物不是构装体或亡灵。吞噬过程需要掠魂魔处于该尸体5尺内至少10分钟时间，在那之后掠魂魔获得等同于该生物生命骰数量一半的生命骰（d8）。投这些生命骰，并将投出的数值增加到掠魂魔的生命值上。掠魂魔每因此获得4个生命骰，其攻击在命中时便额外造成3（1d6）点伤害。掠魂魔保持这些好处6天。被掠魂魔吞噬的生物只能被一道祈愿术法术复活。

恶魔阴影 Demonic Shadows. 掠魂魔令其周围10尺半径内的区域变暗。非魔法的光照无法照亮这片微光光照区域。

魔法抗性 Magic Resistance. 掠魂魔对抗法术和其他魔法效应时的豁免骰具有优势。","多重攻击 Multiattack. 掠魂魔进行一次啃咬攻击和一次爪抓攻击，并且它使用窃魂凝视。

啃咬 Bite. 近战武器攻击: 命中+11，触及5尺，单一目标。命中: 38（5d12 + 6）暗蚀伤害。

爪击 Claw. 近战武器攻击: 命中+11，触及5尺，单一目标。命中: 28（4d10 + 6）力场伤害。

窃魂凝视 Soul-Stealing Gaze. 掠魂魔指定30尺内一个其可以看到的生物为目标。若目标不是一个构装体或亡灵，则其必须成功通过一个DC 16的魅力豁免，否则承受13（2d12）点暗蚀伤害。目标的生命值上限减少等同于所承受的此伤害数值，且掠魂魔恢复此伤害数量一半的生命值。此减损持续至目标完成一次短休或长休。若目标的生命值上限减至0，则目标死亡，并且若目标是一个类人生物，则立即重生为一个处于掠魂魔控制下的食尸鬼。",,,,,,,"城市, 幽暗地域, 沼泽",
掮尸者,MPMM,68,大型,构装,守序 邪恶,17 (天生护甲),189 (18d10 + 90),30 尺,21,14,20,5,11,8,,,,,"暗蚀, 毒素, 心灵; 钝击, 穿刺, 和 挥砍 非精金武器且非魔法攻击的","中毒, 力竭, 恐慌, 石化, 魅惑, 麻痹","黑暗视觉 60 尺, 被动察觉 10",理解所有语言但不会说,"14 (XP 11,500; PB +5)","非凡本质 Unusual Nature. 掮尸者不需要空气、食物、饮水或睡眠。

魔法抗性 Magic Resistance. 掮尸者为抵抗法术和其他魔法效应而作的豁免检定具有优势。","多重攻击 Multiattack. 掮尸者进行两次猛击攻击。

猛击 Slam. 近战武器攻击: 命中+10，触及5尺，单一目标。命中: 18（3d8 + 5）钝击伤害外加16（3d10）暗蚀伤害。

麻痹吐息 (充能 5–6) Paralyzing Breath. 掮尸者在30尺锥状区域内释放出麻痹气体。每个在这一区域中的生物必须成功通过DC 18的体质豁免否则陷入麻痹1分钟。一个麻痹的生物可以在每个其回合结束重复该豁免，成功则结束该效应。",召唤恶灵（短休或长休后充能） Summon Specters. 掮尸者唤醒它所奴役的被其杀戮的死者亡魂；1d4个恶灵（没有日照敏感特性）在掮尸者15尺内的未被占据空间里出现。恶灵和掮尸者使用同一先攻，在掮尸者行动后行动，并战斗至死。它们会在掮尸者被消灭之后消失。,,,,,,草地,
提提维鲁斯,MPMM,242,中型,邪魔 (魔鬼),守序 邪恶,20 (天生护甲),150 (20d8 + 60),"40 尺, 飞行 60 尺",19,22,17,24,22,26,"Dex +11, Con +8, Wis +11, Cha +13","欺瞒 +13, 洞悉 +11, 威吓 +13, 游说 +13",,"寒冷; 钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","火焰, 毒素","中毒, 力竭, 恐慌, 魅惑","黑暗视觉 120 尺, 被动察觉 16","所有, 心灵感应 120 尺","16 (XP 15,000; PB +5)","传奇抗性 (3/日) Legendary Resistance. 如果提提维鲁斯在一次豁免中失败，祂可以将其改为豁免成功。

再生 Regeneration. 提提维鲁斯在自己的回合开始时回复10点生命值。如果祂受到寒冷或光耀伤害，这一特质在其下一回合开始时无法生效。提提维鲁斯只有在以0点生命值开始其回合并且无法再生时才会死亡。

腹语 Ventriloquism. 每当提提维鲁斯说话时，他可以在60尺内选择一个点；他的声音将从那个点发出。

魔法抗性 Magic Resistance. 提提维鲁斯对抗法术和其他魔法效应时进行的豁免检定具有优势。","多重攻击 Multiattack. 提提维鲁斯发动一次银剑攻击，并使用骇人言语。

施法. 提提维鲁斯施展以下法术中的一个，且不需要材料成分，以魅力为施法关键属性（法术豁免DC 21）：

随意: 变身术, 高等幻影, 回避侦测, 短讯术, 暗示术

每项3/日: 假象术, 篡改记忆

银剑 Silver Sword. 近战武器攻击: 命中+9，触及5尺，单一目标。命中: 8（1d8 + 4）力场伤害，或双手持用时9（1d10 + 4）力场伤害，外加16（3d10）暗蚀伤害。如果目标是生物，其生命值上限将缩小等于所受暗蚀伤害一半的数值。

骇人言语 Frightful Word. 提提维鲁斯选择10尺内一个他能看到的生物。目标必须成功通过DC 21的感知豁免否则对他陷入恐慌状态一分钟。以此方式陷入恐慌状态时，目标必须在每个自己回合采取疾走动作并以最安全的路线远离提提维鲁斯，除非没有任何地方可以移动，若是如此它不需要采取疾走动作。目标可以在每个自己回合结束时重复豁免，成功则结束对自身的影响。

传送术 Teleport. 提提维鲁斯将自己传送至多120尺，到达任何祂可以看到且未被占据的空间，其随身携带或着装的装备也将被一起传送。

扭曲言语 Twisting Words. 提提维鲁斯选择60尺内一个他能看到的生物。目标必须成功通过DC 21的魅力豁免否则被提提维鲁斯魅惑1分钟。如果提提维鲁斯对该被魅惑的生物造成任何伤害，它可以重复豁免。一个在豁免掷骰中获得了成功的生物在接下来的24小时里免疫提提维鲁斯的扭曲言语能力。",,,"腐败引导 Corrupting Guidance. 提提维鲁斯使用扭曲言语。或者，他指定一个60尺内被他魅惑魅惑的生物；该魅惑被魅惑的目标必须成功通过DC 21的魅力豁免，否则提提维鲁斯决定该目标在其下一回合如何行动。

传送术 Teleport. 提提维鲁斯使用传送术。

攻击（消耗2个动作） Assault. 提提维鲁斯发动一次银剑攻击，或使用骇人言语。",,,,,
摩洛克,MPMM,183,大型,邪魔 (魔鬼),守序 邪恶,19 (天生护甲),253 (22d10 + 132),30 尺,26,19,22,21,18,23,"Dex +11, Con +13, Wis +11, Cha +13","欺瞒 +13, 威吓 +13, 察觉 +11",,"寒冷; 钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","火焰, 毒素","中毒, 力竭, 恐慌, 魅惑","黑暗视觉 120 尺, 被动察觉 21","所有, 心灵感应 120 尺","21 (XP 33,000; PB +7)","传奇抗性 (3/日) Legendary Resistance. 如果摩洛克在一次豁免中失败，祂可以将其改为豁免成功。

再生 Regeneration. 摩洛克在自己的回合开始时回复20点生命值。如果祂受到光耀伤害，这一特质在其下一回合开始时无法生效。摩洛克只有在以0点生命值开始其回合并且无法再生时才会死亡。

魔法抗性 Magic Resistance. 摩洛克对抗法术和其他魔法效应时的豁免骰具有优势。","多重攻击 Multiattack. 摩洛克发动一次啃咬攻击，一次爪抓攻击，一次九尾鞭攻击。

啃咬 Bite. 近战武器攻击: 命中+15，触及5尺，单一目标。命中: 26（4d8 + 8）火焰伤害。

爪击 Claw. 近战武器攻击: 命中+15，触及10尺，单一目标。命中: 17（2d8 + 8）力场伤害。

九尾鞭 Many-Tailed Whip. 近战武器攻击: 命中+15，触及30尺，单一目标。命中: 13（2d4 + 8）闪电伤害加上11（2d10）雷鸣伤害。如果目标为一个生物，它必须成功通过DC 24的力量豁免否则向摩洛克方向被直线拉近30尺。

施法. 摩洛克施展以下法术中的一个，且不需要材料成分，以魅力为施法关键属性（法术豁免DC 21）：

随意: 变身术（改变外观时可变为中型）, 困惑术, 侦测魔法, 飞行术, 高等幻影, 臭云术, 暗示术, 火墙术

绝望吐息 (充能 5–6) Breath of Despair. 摩洛克呼出充满30尺立方体的吐息。该区域的每一个生物都必须通过一个DC 21的感知豁免，否则受到27（5d10）心灵伤害，抛下它持有的任何东西，并对摩洛克恐慌1分钟。因此方式陷入恐慌的生物必须在每个自己回合采取疾走行动，以最安全的路线远离摩洛克。除非没有任何地方可以移动，若是如此它不需要采取疾走动作。如果生物在一个看不到摩洛克的位置结束自己回合，它可以重复豁免。若成功则效果结束。

传送术 Teleport. 摩洛克可以将自己传送至多120尺，到达任何祂可以看到且未被占据的空间，其随身携带或着装的装备也将被一起传送。",,,"攻击 Attack. 摩洛克发动一次啃咬，爪抓或九尾鞭攻击。

传送术 Teleport. 摩洛克使用传送术。

施法（花费2个动作） Cast a Spell. 摩洛克使用施法。",,,,,
斗篷怪,MM'25,73,大型,异怪,混乱 中立,14,91 (14d10 + 14),"10 尺, 飞行 40 尺",17,15,12,13,14,7,,隐匿 +5,,,,恐慌,"黑暗视觉 120 尺, 被动察觉 12","深潜语, 地底通用语","8 (XP 3,900; PB +3)",光照敏感 Light Sensitivity. 若斗篷怪身处明亮光照中，其攻击检定具有劣势。,"多重攻击 Multiattack. 斗篷怪发动一次吸附攻击和两次尾击攻击。

吸附 Attach. 近战攻击检定: ：+6，触及 5 尺。命中: ：13（ 3d6 + 3 ）穿刺伤害。若目标生物体型不超过大型，斗篷怪会吸附在其身上。斗篷怪吸附期间，目标陷入目盲状态，且斗篷怪无法对其他生物发动吸附攻击。此外，斗篷怪所受的伤害减半（向下取整），且目标承受等额的伤害。

斗篷怪可以消耗 5 尺移动力解除吸附。目标或其 5 尺内的生物可以用动作来尝试解除斗篷怪的吸附，这么做需要成功通过一次DC 14 力量（运动运动）检定。

尾击 Tail. 近战攻击检定:： +6，触及 10 尺。命中: ：8（ 1d10 + 3 ）挥砍伤害。","低吟 Moan. 感知 豁免检定: ：DC 13，源自斗篷怪 60 尺光环区域内的每名生物。失败: ：目标陷入恐慌状态，直到斗篷怪的下个回合结束。成功:： 目标在 24 小时内免疫此斗篷怪的呼嚎。

幻象（短休或长休后充能）. 斗篷怪施展法术镜影术，无需法术成分并使用感知作为施法属性。若斗篷怪在明亮光照中开始或结束其回合，法术会提前结束。",,,,,,幽暗地域,器具
斥候,MM'25,270,小型 或 中型,类人,中立,13,16 (3d8 + 3),30 尺,11,14,12,11,13,11,,"自然 +4, 察觉 +5, 隐匿 +6, 生存 +5",,,,,被动察觉 15,通用语，外加另外一门语言,1/2 (XP 100; PB +2),,"多重攻击 Multiattack. 斥候发动两次攻击，可使用短剑和长弓的任意组合。

短剑 Shortsword. 近战攻击检定: +4，触及5尺。命中: 5（1d6 + 2）点穿刺伤害。

长弓 Longbow. 远程攻击检定: ： +4，射程 150 / 600 尺。命中: ： 6（1d8 + 2）穿刺伤害。",,,,,,,任何,"器具, 个体"
斥候队长,MM'25,270,小型 或 中型,类人,中立,15,66 (12d8 + 12),"30 尺, 攀爬 30 尺",11,16,12,14,15,11,"Dex +5, Int +4","察觉 +6, 隐匿 +7, 生存 +6",,,,,被动察觉 16,通用语，外加另外一门语言,3 (XP 700; PB +2),,"多重攻击 Multiattack. 斥候队长使用短剑或长弓发动共计两次攻击。

短剑 Shortsword. 近战攻击检定: +5，触及5尺。命中: 6（1d6 + 3）穿刺伤害，若本次攻击具有优势，则外加10（3d6）穿刺伤害。

长弓 Longbow. 远程攻击检定: +5，射程150/600尺。命中: 7（1d8 + 3）穿刺伤害，若本次攻击具有优势，则外加10（3d6）穿刺伤害。",瞄准 Aim. 斥候队长在当前回合中进行的下次攻击检定具有优势优势。,直觉闪避 Uncanny Dodge. 触发: 斥候队长被一次攻击检定命中。响应: 斥候队长因此次攻击受到的伤害减半（向下取整）。,,,,,任何,"器具, 个体"
