名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
疫病术,PHB'24,256,5环,动作,7 day,死灵,触及,"声音, 姿势","德鲁伊 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你的触碰会传染一道魔法疫病。目标必须成功通过一次体质豁免，否则受到11d8暗蚀伤害并陷入中毒状态。此外，当你施展法术时选择一项属性，目标在中毒期间进行所选属性的豁免检定时具有劣势。

目标在其每回合结束时必须重新豁免，直至其累计三次成功或失败。若目标累计三次成功，则结束其身上该法术的效应。若目标累计三次失败，其身上该法术的效应持续 7 日。

每当中毒目标受到能够结束其中毒状态的效应作用时，目标必须成功通过一次体质豁免，否则其陷入的中毒状态不会结束。",
疫病虫群,PHB'24,289,5环,动作,"专注, 至多10 分钟",咒法,300 尺,"声音, 姿势, 材料 (一只蝗虫)","德鲁伊 (PHB'24), 术士 (PHB'24), 牧师 (PHB'24)",,"大地 (热带) (PHB'24) 德鲁伊, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 邪魔 (PHB'24) 魔契师","你指定施法距离内一点，并以该点为中心使半径 20 尺球状区域内堆满成群的噬人蝗虫。虫群使整个球状区域成为困难地形并处于轻度遮蔽，在法术终止前都会持续存在。

虫群显现时，区域内的每个生物都必须进行一次体质豁免，豁免失败则受到4d10穿刺伤害，成功则受到半数伤害。生物在一个回合内第一次进入该区域内，或者在区域内结束其回合时，也必须进行该豁免。一名生物每回合仅需进行一次该豁免。",升环施法 Using a Higher-Level Spell Slot. 你使用的法术位每比五环高一环，伤害就增加1d10。
疯狂冠冕,PHB'24,259,2环,动作,"专注, 至多1 分钟",惑控,120 尺,"声音, 姿势","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","一名施法距离内你可见的生物必须成功于一次感知豁免，否则于法术持续时间内陷入魅惑状态。非类人生物自动成功于此豁免。

一顶虚体王冠出现在被魅惑魅惑目标的头顶，且目标每回合必须在移动之前使用其动作对除自身以外你精神性选择的目标发动一次近战攻击。若你并未选择任何生物，或目标触及内没有生物，则目标可在其回合正常行动。目标在其每回合结束时都可以重新豁免，豁免成功则结束其身上该法术的效应。

在施法后，你在每个自己回合里必须用一个魔法动作维持对目标的控制，否则法术将终止。",
目盲术/耳聋术,PHB'24,248,2环,动作,1 分钟,变化,120 尺,声音,"吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",处于你施法范围内的一个你可见的生物必须进行一次体质豁免，豁免失败者在法术持续期间陷入目盲或耳聋状态（由你选择）。目标可以在其每个回合结束时重复此豁免，直至豁免成功时结束自己身上的效应。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，你便能额外指定一个生物作为法术的目标。
真知术,PHB'24,336,6环,动作,1 小时,预言,触及,"声音, 姿势, 材料 (价值 25+GP 的蘑菇粉，作为法术耗材)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 预言师 (PHB'24) 法师",法术持续时间内，你触碰的自愿生物具有 120 尺真实视觉。,
睡眠术,PHB'24,317,1环,动作,"专注, 至多1 分钟",惑控,60 尺,"声音, 姿势, 材料 (一把细沙或玫瑰花瓣)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"大地 (温带) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 至高妖精 (PHB'24) 魔契师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","以施法距离内一点为源点，5 尺半径的球状区域内每个你选择的生物都必须成功通过一次感知豁免否则直到其下个回合结束陷入失能状态。在其下个回合结束时，它必须重复此豁免。如果目标第二次豁免失败，目标在持续时间内陷入昏迷状态。如果目标受到伤害，或其 5 尺内有人用一个动作将它摇醒，目标身上的法术结束。

不需要睡眠的生物（例如精灵）或对力竭状态具有免疫的生物自动成功通过对抗此法术的豁免。",
短讯术,PHB'24,314,3环,动作,立即,预言,无限,"声音, 姿势, 材料 (一段铜线)","吟游诗人 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 畸变 (PHB'24) 术士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师","你向你所遇到过的或某人遇到过且向你描述的一个生物发送一小段二十五个词以内的信息。该生物将在心中听到你的信息，它可以认出你是发讯人（如果他认识你），还可以用同样的方式立即回复一条讯息。法术会让目标能够理解你短讯的信息。

你的传讯可以跨越任意长的距离，甚至能跨越位面。但如果目标和你不在同一个存在位面，则短讯术有5%的概率无法到达。如果讯息没能传达，你将得知这一结果。

在收到你的信息后，一个生物能够屏蔽你以这个法术再次对他发信的能力，持续 8 小时。如果你在这段时间内试图送出另一条信息，你会得知你的短讯被屏蔽，并且法术失败。",
石化术,PHB'24,275,6环,动作,"专注, 至多1 分钟",变化,60 尺,"声音, 姿势, 材料 (一根石化凤凰羽毛)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","你尝试将施法距离内一名你可见的生物变为石头。目标必须进行一次体质豁免。若豁免失败，则目标在法术持续时间内陷入束缚状态。若豁免成功，则目标的速度直至你的下个回合开始前变为 0。构装生物进行此豁免时自动成功。

因该法术陷入束缚状态的生物必须在其每回合结束时再进行一次体质豁免。在累计三次豁免成功后，该法术终止。在累计三次豁免失败后，该生物被转化为石头并在法术持续时间内陷入石化状态。成功或失败的检定不需要连续；只要记录各情况的次数直至其中一方累计三次为止。

如果你为该法术维持的专注持续至法术最大持续时间，则该生物陷入的石化状态将持续至被一道高等复原术或类似的魔法移除为止。",
石墙术,PHB'24,339,5环,动作,"专注, 至多10 分钟",塑能,120 尺,"声音, 姿势, 材料 (一块方形花岗岩)","奇械师 (EFA), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 大地 (荒漠) (PHB'24) 德鲁伊","一面坚硬的非魔法石墙出现在施法距离内你指定的一点。该石墙厚达 6 寸，由十个 10 × 10 尺的方板块组成。每块板块都必须要和至少一块其他板块相连。另外你也可以选择以十个 10 × 20 尺的板块组成石墙，但厚度只有 3 寸。

如果石墙形成时穿过了某生物所占据的空间，则该生物会被推到石墙的一侧（由你决定推到哪一侧）。如果该生物即将被石墙完全包围住（或被石墙和另一个坚硬的平面包围），则它可以进行一次敏捷豁免。若豁免成功，则该生物可以执行一个反应来移动至多等于其速度的距离，从而避免被墙围住。

你可以将石墙塑成你想要的任何形状，但它不能与其他生物或物件同占一处空间。该墙不必垂直于地面，也不需要地基；但它必须从稳固的既有石块中延伸出来。因此，你可以使用该法术创造一条跨越峡谷的桥或是造一个斜坡。

如果你创造的跨度超过了 20 尺，你必须把每一块的大小减半来创造支撑。你可以对石墙进行粗略塑形，造出城垛等类似的东西。

这个墙是一个可以因受到伤害而被打破的石制物件。每块板块的AC为15，且该板块每有1寸厚度就有30点生命值。其具有对毒素、心灵伤害的免疫。当一块板块的生命值降至0时则该板块被摧毁，而且与它相连的板块也可能会崩塌，具体由DM判断。

如果你在整个法术持续时间内一直保持住该法术的专注，则石墙将永久存在且不能被解除。如果你没能这么做，则石墙在法术终止时随即消失。",
石肤术,PHB'24,321,4环,动作,"专注, 至多1 小时",变化,触及,"声音, 姿势, 材料 (价值 100+GP 的钻石尘，作为法术耗材)","奇械师 (EFA), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24)",,"古贤 (PHB'24) 圣武士, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者",在法术结束前，你触碰的一个自愿生物获得对钝击、穿刺、挥砍伤害的抗性。,
祈愿术,PHB'24,341,9环,动作,立即,咒法,自身,声音,"术士 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","祈愿术是凡间生物所能施展的最强大法术。你只需要大声说出自己的愿望就能改变现实世界本身。

法术最基础的用法是用来模仿任意一个八环或更低环阶的法术。如果你以此种方式使用该法术，你不需要满足目标法术所需的任何前提条件（包括有价值的材料成分）就可以让该法术生效。

作为另一种方式，你也可以选择让法术创造下列效应之一：

创造物件. 你创造出一个价值不超过 25000GP 的物件，令其出现在地面上你能看见的一处未占据空间中。该物件不能是魔法物品，其在任意方向上的长度都不能超过 300 尺。

即刻治疗. 你让你自己和至多二十个你可见的生物恢复全部生命值，并且终止它们身上一切在高等复原术法术中列举过的所有效应。

抵抗术. 你让至多十个你能看见的生物获得你所指定的一种伤害类型的抗性。此抗性是永久存在的。

法术免疫. 你让最多十个你能看见的生物免疫于某道法术或某种其他魔法效应，持续 8 小时。

突来学识. 你将你的一个专长替换为符合条件的另一个专长。你失去旧专长带来的全部好处，并获得新专长的好处。你无法取代作为你其他专长或特性先决条件的专长。

重新掷骰. 你通过强制重投上一轮（包括你的上一个回合）内的任意一次掷骰来撤销一个近期事件。现实会重塑自身以适应新的结果。例如，祈愿术可以撤销队友的失败豁免或敌人的重击。你可以强制重投时具有优势或劣势，并选择使用重投结果还是原始结果。

重塑现实. 你可能会许愿一些没有包含在上述效应中的东西。为了做到这样的效果，请尽可能准确地向地下城主描述你的愿望。在这种情况下，地下城主有极高的自由来裁决究竟会发生什么。不过愿望越大，出错的概率就越大。法术可能会直接失败，也可能部分的达成你想要的结果，还有可能因表述愿望时措辞不当而遭到意想不到的结果。例如，许愿让一个坏人死去可能会让你穿越到多年后该人已死的一个时间段，使你相当于离开了游戏一样。此外，许愿获取一件传说中的魔法物品或神器可能会立即将你转移到该物品当前的持有者身边。如果你许的愿望太过庞大，其效应影响到了社群、区域或是世界，你可能会引来强大的敌人。如果你的愿望会影响神，这名神的神仆会立刻干涉，阻止它或是鼓励你以一种特殊的方式许愿。如果你的愿望将会撤销多元宇宙本身，或是威胁到了印记城City of Sigil，或是以某种方式影响到了痛苦女士Lady of Pain ，你的心灵中就会浮现出一段她的影像：她摇了摇自己的脑袋，然后你的愿望失效了。

除了模仿其他法术外，施展祈愿术Wish以达成的任何其他目的都会使你的身躯承受极大的负担，令你变得无比虚弱。承受负担后，直到你完成长休之前，你每次施展法术时都将受到一定伤害（伤害数值取决于你施展的法术的环阶，每环阶1d10点的暗蚀伤害），此伤害无法被任何方式减免。此外，你的力量属性值将变为3，持续2d4日。这段时间内，你每花一整日休息（不从事轻度活动以外的行为），恢复需要的日数就减少 2 日。最后，承受负担时，你将有33%的概率永远也无法再次施展祈愿术。",
祝福术,PHB'24,247,1环,动作,"专注, 至多1 分钟",惑控,30 尺,"声音, 姿势, 材料 (价值5+GP的圣徽)","圣武士 (PHB'24), 牧师 (PHB'24)",,"生命 (PHB'24) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你祝福施法范围内至多三个生物。在法术终止前，受术目标进行的每次攻击检定与豁免检定都将获得1d4的加值。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，你就可以额外选择一个生物作为目标。
神导术,PHB'24,282,戏法,动作,"专注, 至多1 分钟",预言,触及,"声音, 姿势","奇械师 (EFA), 德鲁伊 (PHB'24), 牧师 (PHB'24)",,"大地 (PHB'14) 德鲁伊, 星辰 (PHB'24) 德鲁伊, 月亮 (FRHoF) 吟游诗人, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 自然 (PHB'14) 牧师, 自然 (PHB'14) 牧师, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 力量(PSA) (PSA) 牧师, 力量(PSA) (PSA) 牧师",你触碰一名自愿生物并选择一项技能。直到法术结束为止，受术生物在进行使用到所选技能的任何属性检定时，该次检定具有1d4加值。,
神恩,PHB'24,265,1环,附赠动作,1 分钟,变化,自身,"声音, 姿势",圣武士 (PHB'24),,逸闻 (PHB'14) 吟游诗人,直到法术结束之前，你使用武器的攻击在命中时造成额外1d4点光耀伤害。,
神莓术,PHB'24,280,1环,动作,24 小时,咒法,触及,"声音, 姿势, 材料 (一根槲寄生)","德鲁伊 (PHB'24), 游侠 (PHB'24)",,"逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","10 颗浆果出现在你手里。果子在法术持续时间内充满魔法。一名生物可以用一个附赠动作吃下一颗浆果。吃掉一颗浆果者恢复 1生命值，且一枚浆果就可以满足该生物一整天的营养需求。

法术结束时还没有被吃掉的浆果会消失。",
禁制术,PHB'24,276,6环,10 分钟,1 day,防护 (仪式),触及,"声音, 姿势, 材料 (价值 1000+GP 的红宝石尘)",牧师 (PHB'24),,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你创造一个对抗魔法旅行的结界，该结界区域至多覆盖 40000 平方尺地面及其上 30 尺高的空间。在法术持续时间内，生物无法传送进区域内或使用传送门（如异界之门法术创造的那种）进入其内。该法术使该区域无法进行位面旅行，因此生物无法通过星光位面Astral Plane，以太位面Ethereal Plane，妖精荒野Feywild，堕影冥界Shadowfell，或是通过位面转移法术进入该区域。

此外，该法术可以对你在施法时所选定类别的生物造成伤害。从下列选项中选择一项或多项：异怪、天族、元素、妖精、邪魔、亡灵。所选定生物在一个回合内首次进入法术区域或者在其内结束回合时，将受到5d10点光耀伤害或暗蚀伤害（由你在施法时选择其一）。

施展该法术时，你可以设定一段密语。说出密语的生物即使进入区域也不会受到该法术的伤害。

该法术的效应区域不能与另一道禁制术的区域相重叠。如果你对同一区域连续 30 日每日施展禁制术，则其效应会持续至被解除，并在最后一次施法时将该法术的材料成分消耗殆尽。",
